City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
0,Albany,42.6001,-73.9662,62.28,76,97,1.01,US,overcast clouds
1,Whittlesea,-32.1759,26.8244,69.8,41,57,11.05,ZA,broken clouds
2,Burshtyn,49.2587,24.6278,53.13,80,100,6.44,UA,light rain
3,Thompson,55.7435,-97.8558,48.36,53,75,14.97,CA,broken clouds
4,Puerto Ayora,-0.7393,-90.3518,75.16,91,100,8.99,EC,overcast clouds
5,Kaoma,-14.7833,24.8,77.02,25,59,5.91,ZM,broken clouds
6,Resplendor,-19.3256,-41.2553,87.08,38,57,10.51,BR,broken clouds
7,Norman Wells,65.282,-126.8329,39.24,87,20,6.91,CA,few clouds
8,Mataura,-46.1927,168.8643,49.48,99,100,1.19,NZ,overcast clouds
9,Uyuni,-20.4597,-66.825,50.83,7,24,21.03,BO,few clouds
10,Nkayi,-4.1841,13.2884,84.25,55,99,2.62,CG,light rain
11,Punta Arenas,-53.15,-70.9167,46.51,61,75,17.27,CL,broken clouds
12,Sibolga,1.7427,98.7792,76.69,86,96,3.62,ID,overcast clouds
13,Upernavik,72.7868,-56.1549,33.89,68,100,8.39,GL,overcast clouds
14,Iqaluit,63.7506,-68.5145,35.33,87,75,5.75,CA,broken clouds
15,Lavrentiya,65.5833,-171.0,36.23,82,100,8.81,RU,overcast clouds
16,Vaini,-21.2,-175.2,69.96,100,75,4.61,TO,broken clouds
17,Rikitea,-23.1203,-134.9692,68.16,60,6,17.81,PF,clear sky
18,Busselton,-33.65,115.3333,50.25,83,1,5.46,AU,clear sky
19,Souillac,-20.5167,57.5167,71.98,73,40,12.66,MU,scattered clouds
20,Pecos,31.4229,-103.4932,86.83,39,75,0.0,US,broken clouds
21,Makakilo City,21.3469,-158.0858,79.68,74,0,3.44,US,clear sky
22,Port Elizabeth,-33.918,25.5701,62.89,83,0,14.97,ZA,clear sky
23,Pahrump,36.2083,-115.9839,91.45,18,0,1.99,US,clear sky
24,Butaritari,3.0707,172.7902,80.92,71,2,11.43,KI,clear sky
25,Longyearbyen,78.2186,15.6401,44.44,76,75,14.97,SJ,light rain
26,San Quintin,30.4833,-115.95,78.28,66,0,10.0,MX,clear sky
27,Uchaly,54.2996,59.4521,53.56,85,100,8.28,RU,overcast clouds
28,Vao,-22.6667,167.4833,73.15,83,0,11.3,NC,clear sky
29,East London,-33.0153,27.9116,63.54,82,20,12.66,ZA,few clouds
30,Plettenberg Bay,-34.0527,23.3716,60.49,88,97,6.04,ZA,overcast clouds
31,Yellowknife,62.456,-114.3525,45.12,76,75,16.11,CA,light rain
32,Chokurdakh,70.6333,147.9167,30.04,82,99,9.48,RU,overcast clouds
33,Ayan,56.45,138.1667,43.79,82,100,4.94,RU,overcast clouds
34,Flinders,-34.5833,150.8552,49.37,87,51,1.99,AU,broken clouds
35,La Ronge,55.1001,-105.2842,59.22,44,75,4.61,CA,broken clouds
36,Airai,-8.9266,125.4092,58.28,71,44,2.21,TL,scattered clouds
37,Cherskiy,68.75,161.3,25.83,84,93,3.94,RU,overcast clouds
38,Cape Town,-33.9258,18.4232,61.12,82,20,3.44,ZA,few clouds
39,Bethel,41.3712,-73.414,72.52,70,75,6.91,US,broken clouds
40,Tiznit,29.5833,-9.5,69.69,79,100,5.5,MA,overcast clouds
41,Bluff,-46.6,168.3333,49.8,91,98,2.86,NZ,overcast clouds
42,Mpika,-11.8343,31.4529,68.63,43,49,9.04,ZM,scattered clouds
43,New Norfolk,-42.7826,147.0587,47.71,79,48,1.99,AU,scattered clouds
44,Hermanus,-34.4187,19.2345,59.81,84,100,5.19,ZA,overcast clouds
45,Cabo San Lucas,22.8909,-109.9124,92.5,62,0,2.3,MX,clear sky
46,Bull Savanna,17.8868,-77.5902,78.06,85,100,17.0,JM,overcast clouds
47,Hay River,60.8156,-115.7999,49.96,53,75,3.44,CA,broken clouds
48,Kaitangata,-46.2817,169.8464,47.3,94,100,3.18,NZ,overcast clouds
49,Ushuaia,-54.8,-68.3,47.86,49,40,12.66,AR,scattered clouds
50,Chuy,-33.6971,-53.4616,63.32,61,85,13.98,UY,overcast clouds
51,Rawson,-43.3002,-65.1023,60.82,51,87,17.94,AR,overcast clouds
52,Bitkine,11.9801,18.2138,81.64,69,49,6.51,TD,scattered clouds
53,Minot,48.2325,-101.2963,64.62,34,0,18.41,US,clear sky
54,Kyra,49.5776,111.9753,35.24,59,97,1.05,RU,overcast clouds
55,Aksha,50.2814,113.2867,37.11,72,100,2.26,RU,overcast clouds
56,Padang,-0.9492,100.3543,77.47,85,90,2.95,ID,moderate rain
57,Dunedin,-45.8742,170.5036,48.79,86,100,1.01,NZ,overcast clouds
58,Codrington,-38.2667,141.9667,50.5,94,100,4.21,AU,moderate rain
59,Dikson,73.5069,80.5464,32.36,86,100,18.5,RU,overcast clouds
60,Mantua,45.1667,10.7833,65.01,86,98,1.99,IT,overcast clouds
61,San Patricio,28.017,-97.5169,90.07,46,17,7.29,US,few clouds
62,Goderich,43.7501,-81.7165,62.91,82,99,10.36,CA,overcast clouds
63,Sitka,57.0531,-135.33,53.49,100,100,4.61,US,overcast clouds
64,Banjarmasin,-3.3244,114.591,75.34,94,72,2.89,ID,broken clouds
65,Faanui,-16.4833,-151.75,77.92,76,17,19.69,PF,few clouds
66,Khatanga,71.9667,102.5,27.25,98,100,8.68,RU,light snow
67,Port Alfred,-33.5906,26.891,62.19,76,76,5.01,ZA,broken clouds
68,Hobart,-42.8794,147.3294,48.06,83,100,12.66,AU,overcast clouds
69,Torbay,47.6666,-52.7314,59.58,81,100,13.8,CA,light intensity shower rain
70,Mar Del Plata,-38.0023,-57.5575,60.82,78,0,13.8,AR,clear sky
71,Le Moule,16.3332,-61.3473,86.04,100,53,5.99,GP,broken clouds
72,Belmonte,-15.8631,-38.8828,73.6,92,86,11.39,BR,overcast clouds
73,Maniitsoq,65.4167,-52.9,43.54,55,100,6.73,GL,overcast clouds
74,Talaya,61.3833,152.75,22.48,96,100,3.18,RU,overcast clouds
75,Sao Felix Do Xingu,-6.6447,-51.995,83.7,60,57,5.08,BR,moderate rain
76,Pisco,-13.7,-76.2167,71.65,49,20,26.46,PE,dust
77,Beringovskiy,63.05,179.3167,33.15,60,19,10.67,RU,few clouds
78,Qaanaaq,77.484,-69.3632,31.84,74,100,13.89,GL,overcast clouds
79,Atuona,-9.8,-139.0333,76.71,73,68,19.73,PF,broken clouds
80,Pevek,69.7008,170.3133,28.83,75,21,4.79,RU,few clouds
81,Namibe,-15.1961,12.1522,64.58,83,77,9.86,AO,broken clouds
82,Georgetown,5.4112,100.3354,79.9,86,20,0.0,MY,few clouds
83,Bambanglipuro,-7.95,110.2833,76.33,87,49,8.55,ID,scattered clouds
84,Guerrero Negro,27.9769,-114.0611,79.25,67,1,10.22,MX,clear sky
85,Huambo,-12.7761,15.7392,72.1,50,73,6.55,AO,broken clouds
86,Tuktoyaktuk,69.4541,-133.0374,32.0,80,100,10.36,CA,light snow
87,Hasaki,35.7333,140.8333,63.28,88,100,18.77,JP,overcast clouds
88,La Macarena,2.1837,-73.7849,91.0,43,100,3.22,CO,overcast clouds
89,Esperance,-33.8667,121.9,55.13,78,37,10.04,AU,scattered clouds
90,Lasa,46.6166,10.7002,51.37,90,83,2.68,IT,broken clouds
91,Chegdomyn,51.1167,133.0167,50.95,88,94,5.95,RU,overcast clouds
92,Dryden,49.7833,-92.7503,55.69,67,75,19.57,CA,broken clouds
93,Alghero,40.5589,8.3181,71.69,83,40,3.44,IT,scattered clouds
94,Qaqortoq,60.7167,-46.0333,54.57,65,53,2.75,GL,broken clouds
95,Quimper,48.0,-4.1,57.78,67,0,5.75,FR,clear sky
96,Tateyama,34.9833,139.8667,68.09,83,26,8.32,JP,scattered clouds
97,Lata,40.1629,-8.3327,70.92,45,27,6.02,PT,scattered clouds
98,Provideniya,64.3833,-173.3,35.64,77,76,5.48,RU,broken clouds
99,Rio Gallegos,-51.6226,-69.2181,57.25,23,75,23.02,AR,broken clouds
100,Kawambwa,-9.7915,29.0791,76.06,31,50,3.29,ZM,scattered clouds
101,Lebu,-37.6167,-73.65,53.38,63,6,7.36,CL,clear sky
102,Porto Santo,33.072,-16.3415,71.98,60,20,11.5,PT,few clouds
103,Kettering,39.6895,-84.1688,71.76,60,100,17.27,US,overcast clouds
104,Sechura,-5.5569,-80.8222,74.93,54,98,14.43,PE,overcast clouds
105,Nanortalik,60.1432,-45.2371,55.42,82,72,16.82,GL,light rain
106,Touros,-5.1989,-35.4608,83.55,57,0,15.26,BR,clear sky
107,Kemi,65.8596,24.8228,46.17,71,75,3.44,FI,broken clouds
108,Jutai,-5.1833,-68.9,92.39,44,81,3.04,BR,broken clouds
109,Birao,10.2849,22.7882,78.46,74,51,4.74,CF,broken clouds
110,Smithers,54.7804,-127.1743,53.92,87,100,2.3,CA,light rain
111,Kodiak,57.79,-152.4072,42.31,87,20,0.0,US,few clouds
112,Nikolskoye,59.7035,30.7861,48.09,97,100,2.24,RU,overcast clouds
113,Arraial Do Cabo,-22.9661,-42.0278,73.36,68,75,12.66,BR,broken clouds
114,Mezen,65.8522,44.24,38.01,75,56,8.84,RU,broken clouds
115,Sri Aman,1.2376,111.4621,75.25,94,99,4.61,MY,overcast clouds
116,Nemuro,43.3236,145.575,61.83,81,97,4.63,JP,overcast clouds
117,Ponta Do Sol,32.6667,-17.1,74.03,74,61,9.53,PT,broken clouds
118,Pedasi,7.5333,-80.0333,84.07,77,66,14.0,PA,broken clouds
119,Fort Nelson,58.8053,-122.7002,45.99,66,100,0.0,CA,overcast clouds
120,Comodoro Rivadavia,-45.8667,-67.5,62.46,31,0,16.11,AR,clear sky
121,Bredasdorp,-34.5322,20.0403,55.2,91,99,2.68,ZA,overcast clouds
122,Uporovo,56.3109,66.2693,44.55,71,100,13.42,RU,light rain
123,Daryapur,20.9333,77.3333,76.14,83,56,3.44,IN,broken clouds
124,Victoria,22.2855,114.1577,83.32,79,22,5.01,HK,few clouds
125,Tasiilaq,65.6145,-37.6368,51.96,55,42,7.0,GL,scattered clouds
126,Saint-Philippe,-21.3585,55.7679,69.39,83,36,14.03,RE,scattered clouds
127,Naryan-Mar,67.6713,53.087,32.54,69,100,11.59,RU,overcast clouds
128,Kandi,11.1342,2.9386,80.1,77,33,2.98,BJ,scattered clouds
129,Redmond,47.674,-122.1215,71.58,68,69,1.01,US,broken clouds
130,Castro,-24.7911,-50.0119,60.6,63,98,7.49,BR,overcast clouds
131,Cavalcante,-13.7975,-47.4583,69.85,86,100,2.57,BR,overcast clouds
132,Ostrovnoy,68.0531,39.5131,43.25,75,100,10.31,RU,overcast clouds
133,Hami,42.8,93.45,72.23,15,0,7.72,CN,clear sky
134,Bambous Virieux,-20.3428,57.7575,71.85,73,40,12.66,MU,scattered clouds
135,Turukhansk,65.8167,87.9833,28.2,97,100,3.69,RU,overcast clouds
136,Asau,46.4333,26.4,58.28,64,69,3.8,RO,broken clouds
137,Olafsvik,64.8945,-23.7142,47.53,68,5,11.9,IS,clear sky
138,Lincoln,40.8,-96.667,79.14,35,0,21.85,US,clear sky
139,Kupang,-10.1667,123.5833,77.77,82,77,5.35,ID,broken clouds
140,Verkhoyansk,67.5447,133.385,31.08,66,100,2.8,RU,overcast clouds
141,Appleton,44.2619,-88.4154,63.19,68,75,13.8,US,broken clouds
142,Beloha,-25.1667,45.05,77.5,45,0,10.22,MG,clear sky
143,Kapaa,22.0752,-159.319,80.58,89,20,8.05,US,light rain
144,Ancud,-41.8697,-73.8203,48.22,76,75,19.01,CL,broken clouds
145,Fairbanks,64.8378,-147.7164,44.82,78,0,4.61,US,clear sky
146,Luena,-11.7833,19.9167,71.6,44,99,3.49,AO,overcast clouds
147,Barrow,71.2906,-156.7887,30.22,86,100,16.11,US,overcast clouds
148,Kloulklubed,7.0419,134.2556,77.5,74,100,1.68,PW,light rain
149,Severo-Kurilsk,50.6789,156.125,50.49,90,97,18.9,RU,overcast clouds
150,Hithadhoo,-0.6,73.0833,78.39,83,100,17.13,MV,overcast clouds
151,Lompoc,34.6391,-120.4579,73.54,81,40,8.05,US,scattered clouds
152,Mugur-Aksy,50.35,90.5,46.72,47,90,5.97,RU,overcast clouds
153,Mareeba,-17.0,145.4333,68.72,96,36,3.51,AU,scattered clouds
154,Avarua,-21.2078,-159.775,77.05,73,20,14.97,CK,few clouds
155,Kapustin Yar,48.5831,45.7372,54.84,63,100,13.8,RU,overcast clouds
156,Hofn,64.2539,-15.2082,43.83,53,13,18.19,IS,few clouds
157,Yar-Sale,66.8333,70.8333,28.74,88,41,11.99,RU,scattered clouds
158,Tygda,53.1167,126.3333,38.23,97,97,8.28,RU,light rain
159,Saldanha,-33.0117,17.9442,59.05,84,100,4.79,ZA,overcast clouds
160,Mildura,-34.2,142.15,56.07,88,100,1.83,AU,light rain
161,Kahului,20.8947,-156.47,82.85,69,0,4.0,US,clear sky
162,Hauterive,46.0901,3.4459,57.96,93,70,3.15,FR,broken clouds
163,Manaus,-3.1019,-60.025,95.5,46,40,6.91,BR,scattered clouds
164,Biltine,14.5333,20.9167,92.48,22,44,4.94,TD,scattered clouds
165,Rawah,34.4816,41.9093,79.02,21,0,10.76,IQ,clear sky
166,Tura,25.5198,90.2201,72.57,95,100,3.38,IN,overcast clouds
167,Micheweni,-4.9667,39.8333,75.6,88,77,13.27,TZ,broken clouds
168,Hamilton,39.1834,-84.5333,75.2,55,40,16.11,US,scattered clouds
169,Camana,-16.6228,-72.7111,66.06,71,28,12.5,PE,scattered clouds
170,Revda,56.801,59.9303,39.99,92,100,15.99,RU,moderate rain
171,Saint John,45.2727,-66.0677,63.63,59,75,18.41,CA,broken clouds
172,Ibra,22.6906,58.5334,84.81,47,53,7.16,OM,broken clouds
173,Selenduma,50.9131,106.2406,41.5,84,72,7.94,RU,broken clouds
174,Saskylakh,71.9167,114.0833,30.61,85,100,15.3,RU,overcast clouds
175,Tonantins,-2.8731,-67.8022,93.99,43,80,1.59,BR,broken clouds
176,Bandarbeyla,9.4942,50.8122,77.52,84,35,24.52,SO,scattered clouds
177,Narsaq,60.9167,-46.05,50.22,63,58,4.54,GL,broken clouds
178,Kavaratti,10.5669,72.642,81.82,76,18,14.29,IN,few clouds
179,Pochutla,15.7432,-96.4661,87.62,77,100,3.42,MX,overcast clouds
180,Pala,9.3642,14.9046,74.17,85,88,4.16,TD,overcast clouds
181,Whitehorse,60.7161,-135.0538,47.17,71,75,16.11,CA,broken clouds
182,Carnarvon,-24.8667,113.6333,63.97,57,0,25.14,AU,clear sky
183,Pitimbu,-7.4706,-34.8086,82.99,64,8,15.19,BR,clear sky
184,Kumasi,6.6885,-1.6244,73.45,94,89,3.53,GH,moderate rain
185,Saint Anthony,45.0205,-93.218,69.89,47,0,26.46,US,clear sky
186,Klaksvik,62.2266,-6.589,45.52,75,60,40.04,FO,broken clouds
187,Nouakchott,18.0858,-15.9785,85.93,78,77,12.84,MR,broken clouds
188,La Peca,-5.6111,-78.435,86.56,46,72,4.63,PE,light rain
189,Margate,51.3813,1.3862,56.88,59,82,1.01,GB,broken clouds
190,Sabha,27.0377,14.4283,87.53,27,2,10.36,LY,clear sky
191,Jamestown,42.097,-79.2353,61.02,76,100,12.66,US,overcast clouds
192,Mount Gambier,-37.8333,140.7667,48.85,96,100,3.22,AU,overcast clouds
193,Svetlyy,54.675,20.1347,50.97,69,94,3.74,RU,overcast clouds
194,Alice Springs,-23.7,133.8833,73.22,23,40,4.61,AU,scattered clouds
195,Anchorage,61.2181,-149.9003,50.63,84,75,11.5,US,broken clouds
196,Lazaro Cardenas,17.9583,-102.2,85.12,71,75,3.71,MX,broken clouds
197,Ca Mau,9.1769,105.15,78.22,82,100,1.01,VN,overcast clouds
198,Subate,56.0062,25.9076,49.17,73,100,4.09,LV,overcast clouds
199,Ozernovskiy,51.5,156.5167,50.18,94,100,18.19,RU,light rain
200,Ornskoldsvik,63.2909,18.7153,52.75,100,100,8.05,SE,overcast clouds
201,Petatlan,17.5167,-101.2667,87.6,64,77,4.76,MX,broken clouds
202,Fortuna,40.5982,-124.1573,59.34,43,0,3.89,US,clear sky
203,Mahebourg,-20.4081,57.7,71.89,73,40,12.66,MU,scattered clouds
204,Sambava,-14.2667,50.1667,70.09,85,0,12.46,MG,clear sky
205,San Juan,-31.5375,-68.5364,69.1,27,18,8.37,AR,few clouds
206,Port Hardy,50.6996,-127.4199,51.98,100,100,3.44,CA,fog
207,Dwarka,22.2394,68.9678,81.63,69,84,9.57,IN,broken clouds
208,Paamiut,61.994,-49.6678,46.33,99,100,13.13,GL,moderate rain
209,Zhigansk,66.7697,123.3711,30.22,94,100,7.45,RU,light snow
210,Sheregesh,52.9209,87.9869,52.83,79,100,7.11,RU,overcast clouds
211,Zhicheng,30.2956,111.5047,62.65,90,0,3.09,CN,clear sky
212,Tuatapere,-46.1333,167.6833,47.66,95,94,3.22,NZ,overcast clouds
213,Santa Vitoria Do Palmar,-33.5189,-53.3681,64.08,62,86,14.27,BR,overcast clouds
214,Bathsheba,13.2167,-59.5167,86.61,74,40,16.11,BB,scattered clouds
215,Tanda,26.55,82.65,78.78,86,100,2.98,IN,overcast clouds
216,Havre-Saint-Pierre,50.2334,-63.5986,52.16,66,75,20.71,CA,broken clouds
217,Henties Bay,-22.116,14.2845,56.8,83,66,7.34,NA,broken clouds
218,Kavieng,-2.5744,150.7967,81.43,75,4,10.02,PG,light rain
219,Brae,60.3964,-1.353,50.99,73,72,25.05,GB,broken clouds
220,Sola,-13.8833,167.55,80.1,79,19,10.98,VU,few clouds
221,Kiunga,-6.1219,141.2906,72.7,100,89,1.95,PG,overcast clouds
222,Vestmannaeyjar,63.4427,-20.2734,47.39,71,0,25.32,IS,clear sky
223,Egvekinot,66.3167,-179.1667,24.85,68,73,13.06,RU,broken clouds
224,Puerto Palomas,31.7667,-107.6167,86.31,22,26,9.33,MX,scattered clouds
